#time,accel_x,accel_y,accel_z
2995.837958,-3447.650391,-14954.183569,-10735.600244
2995.838204,-4434.061475,-7862.558252,-10251.971509
2995.838450,-4333.505005,-3404.554761,-8925.583789
2995.838696,-3950.432739,-2916.137622,-6713.341455
2995.838942,-3734.954590,-4357.447021,-6397.306836
2995.839188,-4563.348364,-5382.165332,-8868.122949
2995.839435,-3442.861987,-4759.672900,-9988.609326
2995.839681,-2418.143677,-186.747729,-9859.322437
2995.839927,-909.796631,6157.886670,-6785.167505
2995.840173,181.959326,12042.834351,-4357.447021
2995.840419,881.066211,15227.122559,-5736.507178
2995.840665,1283.292090,16093.823560,-6430.825659
2995.840911,2169.146704,15327.679028,-9485.826978
2995.841158,2691.082666,13843.273999,-8705.317236
2995.841404,2949.656445,12655.749976,-5846.640454
2995.841650,3572.148877,14408.305591,-5525.817432
2995.841896,4007.893579,19603.723193,-4841.075757
2995.842142,4041.412402,26192.566162,-8508.992700
2995.842388,3371.035937,31589.096704,-10663.774194
2995.842634,2743.755103,35022.381885,-10228.029492
2995.842881,2451.662500,36569.036157,-9361.328491
2995.843127,2638.410229,34840.422559,-7848.193042
2995.843373,2590.526196,31081.525952,-8815.450513
2995.843619,2973.598462,26130.316919,-11741.164941
2995.843865,2619.256616,20963.629736,-12315.773340
2995.844111,1584.961499,16457.742212,-11789.048975
2995.844357,1120.486377,12248.735693,-10591.948145
2995.844604,790.086548,7867.346655,-9538.499414
2995.844850,684.741675,5214.571216,-11300.631836
2995.845096,675.164868,4261.678955,-13024.457031
2995.845342,359.130249,3457.227197,-13785.813159
2995.845588,-555.454785,2777.273926,-13057.975854
2995.845834,-349.553442,895.431421,-11037.269653
2995.846081,593.762012,-2887.407202,-11113.884106
2995.846327,1374.271753,-5999.869360,-12382.810986
2995.846573,296.881006,-4592.078784,-14695.609790
2995.846819,-1340.752930,-4381.389038,-14848.838696
2995.847065,-1752.555615,-6636.727002,-13474.566943
2995.847311,-871.489404,-10735.600244,-11338.939062
